timestamp,v_x,w_z
1715420027.566489963,2.11662,0.050187
1715420027.616450870,2.10062,0.0404117
1715420027.666431733,2.02946,0.0147944
1715420027.716445314,2.07671,0.0327247
1715420027.766433091,2.10093,0.0412418
1715420027.816491028,2.08481,0.0352807
1715420027.866428428,2.05724,0.0335492
1715420027.916437051,2.07544,0.0347713
1715420027.966430895,2.09538,0.0515793
1715420028.016462270,2.08197,0.0398242
1715420028.066522862,2.06283,0.0457304
1715420028.116473149,2.07543,0.0416322
1715420028.166448917,2.09361,0.010202
1715420028.216468723,2.08141,0.032204
1715420028.266428105,2.1209,0.0423922
1715420028.316440150,2.09461,0.0352793
1715420028.366484008,2.09399,0.0821356
1715420028.416467129,2.09437,0.0493564
1715420028.466433322,2.03291,-0.0504538
1715420028.516468943,2.07356,0.0194149
1715420028.566432778,2.12188,0.0915897
1715420028.616493610,2.08968,0.0410913
1715420028.666436336,2.04431,-0.0619681
1715420028.716458194,2.0726,0.0101599
1715420028.766445942,2.07051,0.101843
1715420028.816426147,2.07159,0.0376687
1715420028.866529063,2.12651,-0.0169995
1715420028.916487989,2.08979,0.021263
1715420028.966459442,2.08643,0.0353865
1715420029.016462658,2.08877,0.0255113
1715420029.066431652,2.09784,0.108653
1715420029.116495228,2.09187,0.0504791
1715420029.166489324,2.03434,0.0254035
1715420029.216433278,2.07265,0.0429828
1715420029.266425364,2.14687,0.0834924
1715420029.316463166,2.09763,0.0551669
1715420029.366493305,2.07377,0.0841382
1715420029.416426113,2.0898,0.0638755
1715420029.466433394,2.10854,-0.00998408
1715420029.516499763,2.0961,0.04171
1715420029.566444200,2.08903,0.105984
1715420029.616463604,2.09376,0.0610269
1715420029.666428961,2.09468,-0.051918
1715420029.716458221,2.09428,0.0271379
1715420029.766507263,2.10492,0.0943934
1715420029.816457435,2.098,0.0473363
1715420029.866459028,2.09075,0.0101788
1715420029.916437116,2.09571,0.0362059
1715420029.966481305,2.03232,0.0638683
1715420030.016455931,2.07434,0.0445155
1715420030.066440232,2.13653,-0.0276635
1715420030.116431610,2.09528,0.0228698
1715420030.166527117,2.09835,0.0781479
1715420030.216447831,2.09651,0.0394753
1715420030.266427394,2.02655,0.0157168
1715420030.316449311,2.07293,0.0323356
1715420030.366436501,2.07824,0.0506909
1715420030.416444759,2.0745,0.0378521
1715420030.466432834,2.1195,0
1715420030.516428113,2.0895,0.026507
1715420030.566479731,2.075,0.0773667
1715420030.616460294,2.0845,0.041766
1715420030.666576031,2.11059,0.0399095
1715420030.716457051,2.09344,0.0412183
1715420030.766479252,2.07991,0.0209693
1715420030.816456274,2.08901,0.035143
1715420030.866455205,2.11439,-0.00763567
1715420030.916430041,2.09777,0.0222949
1715420030.966478076,2.07423,0.077054
1715420031.016462307,2.09005,0.038721
1715420031.066434710,2.08046,0.0409491
1715420031.116460554,2.08701,0.0393866
1715420031.166454556,2.10316,-0.021157
1715420031.216464574,2.09254,0.0212107
1715420031.266434509,2.10259,0.066298
1715420031.316436394,2.09592,0.034736
1715420031.366480822,2.08361,0.0814209
1715420031.416467310,2.09179,0.0487405
1715420031.466430191,2.10377,-0.0271109
1715420031.516474044,2.09607,0.0259923
1715420031.566456401,2.08009,0.0671328
1715420031.616468456,2.09076,0.0383311
1715420031.666431082,2.10361,0.084536
1715420031.716477120,2.0953,0.05224
1715420031.766457079,2.04954,0.0568975
1715420031.816473395,2.08012,0.053655
1715420031.866416171,2.12981,0.022105
1715420031.916463198,2.09673,0.0442157
1715420031.966455000,2.09006,0.0890247
1715420032.016469149,2.09455,0.0576945
1715420032.066432655,2.09033,0.0194885
1715420032.116439592,2.09312,0.0462275
1715420032.166482103,2.11101,0.0311035
1715420032.216434433,2.09938,0.0416885
1715420032.266460621,2.08132,0.0330146
1715420032.316439514,2.09328,0.0390678
1715420032.366495350,2.09114,0.0836737
1715420032.416440727,2.09257,0.0524364
1715420032.466437814,2.05727,-0.0762816
1715420032.516472466,2.08058,0.0137892
1715420032.566526227,2.10108,0.0576593
1715420032.616475711,2.08731,0.0269115
1715420032.666461222,2.05091,0.0514231
1715420032.716469579,2.07491,0.034273
1715420032.766448701,2.14639,0.0509248
1715420032.816481663,2.09873,0.0392593
1715420032.866476677,2.04919,-0.00956981
1715420032.916517189,2.08204,0.0245974
1715420032.966436125,2.06813,0.0387235
1715420033.016465205,2.07743,0.0288175
1715420033.066429036,2.09011,0.0206463
1715420033.116469315,2.08147,0.0263701
1715420033.166459188,2.05913,0.0583182
1715420033.216455901,2.07374,0.0359506
1715420033.266432563,2.10925,-0.02531
1715420033.316487168,2.08573,0.0175557
1715420033.366456370,2.08251,0.0772626
1715420033.416466431,2.08477,0.0354652
