timestamp,v_x,w_z
1716433463.994154254,1,0.0334761
1716433464.044162682,1,0.0953504
1716433464.094123809,1,0.0526654
1716433464.144149081,1,0
1716433464.194170415,1,0.0363687
1716433464.244142676,1,0.175759
1716433464.294124692,1,0.0796967
1716433464.344153595,1,-0.0491876
1716433464.394151850,1,0.0396722
1716433464.444151873,1,0.11448
1716433464.494132015,1,0.0628759
1716433464.544126047,1,0.147207
1716433464.594164912,1,0.0891449
1716433464.644130114,1,-0.0975636
1716433464.694150712,1,0.031212
1716433464.744136865,1,0.100748
1716433464.794163826,1,0.0528556
1716433464.844127902,1,0.0551746
1716433464.894178032,1,0.0536355
1716433464.944130046,1,0.0856619
1716433464.994132633,1,0.0636143
1716433465.044077211,1,-0.0213045
1716433465.094155960,1,0.0372321
1716433465.144162764,1,0.214879
1716433465.194159586,1,0.0924953
1716433465.244157145,1,-0.12633
1716433465.294127370,1,0.0245541
1716433465.344176187,1,0.112598
1716433465.394157969,1,0.0519414
1716433465.444157467,1,0.0263812
1716433465.494153699,1,0.0439738
1716433465.544133860,1,0.121768
1716433465.594157522,1,0.068155
1716433465.644164218,1,-0.076231
1716433465.694157353,1,0.0233182
1716433465.744157107,1,0.042432
1716433465.794161378,1,0.0292232
1716433465.844155843,1,0.0665517
1716433465.894159695,1,0.0408255
1716433465.944133521,1,0.0960594
1716433465.994155116,1,0.0579869
1716433466.044158759,1,0
1716433466.094158288,1,0.0415935
1716433466.144160563,1,0
1716433466.194157784,1,0.0339332
1716433466.244126695,1,0.160469
1716433466.294156689,1,0.0733012
1716433466.344156471,1,0
1716433466.394153661,1,0.0464549
1716433466.444164607,1,0.13527
1716433466.494155403,1,0.0741069
1716433466.544128929,1,-0.0561166
1716433466.594150425,1,0.0337104
1716433466.644149077,1,0.103722
1716433466.694136442,1,0.0554416
1716433466.744125739,1,0.0353009
1716433466.794156957,1,0.0492242
1716433466.844129026,1,0.0762005
1716433466.894155462,1,0.0575893
1716433466.944158410,1,-0.0403498
1716433466.994164542,1,0.0271829
1716433467.044170178,1,0
1716433467.094162110,1,0
1716433467.144159805,1,0.101844
1716433467.194177807,1,0.0417834
1716433467.244141611,1,0
1716433467.294189683,1,0.0312976
1716433467.344164122,1,0.155078
1716433467.394125481,1,0.0697605
1716433467.444154779,1,0
1716433467.494155104,1,0.0431563
1716433467.544158365,1,0.102223
1716433467.594153591,1,0.0614412
1716433467.644132265,1,-0.065189
1716433467.694548768,1,0.0221266
1716433467.744159999,1,0.0914512
1716433467.794155219,1,0.0436255
1716433467.844150162,1,0
1716433467.894126117,1,0.0288572
1716433467.944178327,1,0.0893616
1716433467.994165930,1,0.047608
1716433468.044154628,1,0.0114067
1716433468.094157036,1,0.0393974
1716433468.144156683,1,0
1716433468.194162188,1,0.023124
1716433468.244127620,1,0
1716433468.294156269,1,0
1716433468.344152464,1,0
1716433468.394156463,1,0
1716433468.444158107,1,0.122087
1716433468.494125983,1,0.0468471
1716433468.544125960,1,-0.0635962
1716433468.594142523,1,0
1716433468.644131216,1,0
1716433468.694127459,1,0
1716433468.744150228,1,0.0263184
1716433468.794152847,1,0
1716433468.844159080,1,0.066494
1716433468.894156498,1,0.0332634
