timestamp,v_x,w_z
1715420027.553257528,0.0330567,0
1715420027.603238908,0.0330567,-0.000698132
1715420027.653280610,0.0260593,-0.000698132
1715420027.703193980,0.0260593,-0.0010472
1715420027.753262087,0.0326268,-0.00174533
1715420027.803257702,0.0360095,-0.0010472
1715420027.853214291,0.0827316,-0.000523599
1715420027.903263434,0.0827316,-0.000698132
1715420027.953307756,0.0647794,-0.0010472
1715420028.003300588,0.0289009,-0.000523599
1715420028.053166872,0.0315409,-0.000698132
1715420028.103222533,0.0315409,0.000174533
1715420028.153275994,0.0535333,-0.00122173
1715420028.203347296,0.0535333,-0.00122173
1715420028.253247607,0.0214105,-0.00122173
1715420028.303247106,0.0214105,-0.0015708
1715420028.353310411,0.0199149,-0.0015708
1715420028.403339158,0.0199149,-0.0015708
1715420028.453290842,0.0387229,-0.000523599
1715420028.503312704,0.0387229,-0.000698132
1715420028.553334643,0.0617442,-0.000174533
1715420028.603277651,0.0862454,-0.00122173
1715420028.653329085,0.0537146,0
1715420028.703338590,0.0537146,-0.0010472
1715420028.753384737,0.0497974,-0.000174533
1715420028.803336205,0.0497974,-0.0020944
1715420028.853339074,0.0244697,0
1715420028.903297143,0.0244697,-0.0010472
1715420028.953266359,0.0726536,-0.00122173
1715420029.003310756,0.0726536,-0.000698132
1715420029.053306977,0.0628374,0
1715420029.103299340,0.0628374,-0.00122173
1715420029.153279738,0.065131,-0.000523599
1715420029.203345549,0.065131,0.000174533
1715420029.253377562,0.0325486,-0.0010472
1715420029.303292272,0.0325486,-0.000523599
1715420029.353356053,0.061089,-0.000174533
1715420029.403283570,0.061089,-0.000523599
1715420029.453309413,0.0369862,-0.0010472
1715420029.503372441,0.0369862,0
1715420029.553278129,0.048171,-0.0010472
1715420029.603361215,0.048171,-0.0015708
1715420029.653366750,0.0204275,-0.00174533
1715420029.703404833,0.0204275,-0.000523599
1715420029.753283308,0.0134371,-0.00122173
1715420029.803316012,0.0134371,-0.0010472
1715420029.853319361,0.0862454,-0.0010472
1715420029.903333596,0.0862454,0
1715420029.953415807,0.0199556,-0.000523599
1715420030.003268053,0.0199556,-0.000523599
1715420030.053352327,0.00671855,-0.000698132
1715420030.103413929,0.00671855,-0.000523599
1715420030.153362794,0.0186856,0.000174533
1715420030.203356586,0.0186856,-0.000174533
1715420030.253402035,0.0242559,-0.000523599
1715420030.303310622,0.0242559,-0.0015708
1715420030.353397681,0.00733354,-0.000523599
1715420030.403401623,0.00733354,-0.000523599
1715420030.453345610,0.0544473,-0.00226893
1715420030.503343191,0.0544473,0
1715420030.553444273,0.0274874,-0.0010472
1715420030.603437137,0.0274874,-0.000523599
1715420030.653419734,0.0216203,-0.00122173
1715420030.703413428,0.0216203,-0.000174533
1715420030.753485895,0.0266956,0
1715420030.803376798,0.0266956,-0.000523599
1715420030.853436775,0.0114295,-0.00331613
1715420030.903438712,0.0114295,-0.000698132
1715420030.953355182,0.0217803,0
1715420031.003401856,0.0217803,0
1715420031.053427351,0.0217608,-0.0010472
1715420031.103383861,0.0217608,-0.00174533
1715420031.153414948,0.0224382,-0.000698132
1715420031.203466104,0.0224382,-0.000698132
1715420031.253393317,0.0285287,-0.000523599
1715420031.303442016,0.0285287,-0.0015708
1715420031.353496108,0.0372947,-0.000523599
1715420031.403394542,0.0372947,-0.0010472
1715420031.453384420,0.0187268,0
1715420031.503472668,0.0187268,-0.00174533
1715420031.553484858,0.0412946,0.0010472
1715420031.603346450,0.0412946,-0.000174533
1715420031.653483104,0.0525477,-0.0015708
1715420031.703477305,0.0525477,-0.000174533
1715420031.753430460,0.0541781,-0.000523599
1715420031.803445693,0.0541781,-0.000698132
1715420031.853498515,0.0220567,-0.000174533
1715420031.903433135,0.0220567,-0.000523599
1715420031.953478984,0.0383011,-0.00122173
1715420032.003498142,0.0383011,-0.000698132
1715420032.053555914,0.0196045,-0.000523599
1715420032.103461625,0.0196045,-0.00122173
1715420032.153486228,0.0434445,-0.000698132
1715420032.203501248,0.0434445,0.000174533
1715420032.253470134,0.0496795,-0.000174533
1715420032.303469463,0.0496795,-0.00261799
1715420032.353540686,0.0118667,-0.0010472
1715420032.403410553,0.0118667,-0.000174533
1715420032.453447823,0.0248219,-0.000174533
1715420032.503487915,0.0248219,0.000174533
1715420032.553430860,0.0236699,-0.00174533
1715420032.603512199,0.0236699,0.000174533
1715420032.653497676,0.044314,-0.0015708
1715420032.703564425,0.044314,-0.00122173
1715420032.753483304,0.0239034,-0.00122173
1715420032.803440059,0.0239034,-0.0010472
1715420032.853513527,0.053126,-0.0010472
1715420032.903475000,0.053126,-0.000174533
1715420032.953495061,0.122988,-0.00122173
1715420033.003587268,0.122988,-0.00122173
1715420033.053477588,0.0512859,-0.000174533
1715420033.103517532,0.0512859,-0.00122173
1715420033.153556826,0.0567225,0.000523599
1715420033.203570662,0.0567225,-0.0015708
1715420033.253443278,0.0183943,-0.0015708
1715420033.303507705,0.0183943,-0.00122173
1715420033.353565987,0.0517778,-0.000698132
1715420033.403550850,0.0517778,-0.00122173
1715420033.453535609,0.0239486,-0.000698132
1715420033.503554409,0.0239486,-0.0015708
1715420033.553487724,0.00472222,-0.00122173
1715420033.603509334,0.00472222,-0.0010472
1715420033.653587212,0.0537175,-0.0015708
1715420033.703473711,0.0537175,-0.000698132
1715420033.753517288,0.0355599,-0.000698132
1715420033.803511588,0.0355599,-0.000698132
1715420033.853482443,0.01302,-0.000698132
1715420033.903759440,0.01302,-0.000698132
1715420033.953565306,0.0429802,-0.0010472
1715420034.003620724,0.0429802,-0.0015708
1715420034.053502176,0.0165738,-0.0015708
1715420034.103612803,0.0165738,-0.0010472
1715420034.153534349,0.0215739,-0.000523599
1715420034.203521106,0.0215739,-0.00226893
1715420034.253504093,0.0108476,0.000523599
1715420034.303496865,0.0108476,-0.000698132
1715420034.353509530,0.0210397,-0.000698132
1715420034.403588222,0.0210397,-0.0015708
1715420034.453569086,0.021003,-0.000698132
1715420034.503581416,0.021003,-0.000523599
1715420034.553583196,0.0200019,-0.000174533
1715420034.603535580,0.0200019,-0.0020944
1715420034.653565993,0.012826,-0.00174533
1715420034.703615847,0.012826,-0.00122173
1715420034.754654629,0.0525588,-0.000523599
1715420034.803577017,0.0525588,-0.0015708
1715420034.853606466,0.0110589,-0.00122173
1715420034.953600718,0.0333426,-0.000698132
1715420035.003643370,0.0333426,-0.00122173
1715420035.053707769,0.0145403,0.000174533
1715420035.103611402,0.0145403,-0.00122173
1715420035.153699042,0.0465558,-0.000174533
1715420035.203686279,0.0465558,0
1715420035.253591472,0.0212604,-0.0015708
1715420035.303690139,0.0212604,-0.0010472
1715420035.353740942,0.0125493,-0.00174533
1715420035.403956830,0.0125493,-0.000523599
1715420035.453667324,0.029982,-0.00226893
1715420035.503727443,0.029982,-0.0015708
1715420035.553652306,0.0455708,0.000523599
1715420035.603680618,0.0455708,0
1715420035.653684665,0.0493859,-0.000698132
1715420035.703669259,0.0493859,-0.000523599
1715420035.753678805,0.0316715,-0.0015708
1715420035.803669524,0.0316715,-0.0010472
1715420035.854380369,0.00333333,-0.000523599
1715420035.903664981,0.00333333,-0.000523599
1715420035.953672530,0.0743885,-0.0010472
1715420036.003717294,0.0743885,-0.00122173
1715420036.053636315,0.0399894,-0.000174533
1715420036.103699047,0.0399894,-0.000523599
1715420036.153647748,0.00899674,-0.000698132
1715420036.203668963,0.00899674,-0.0010472
